PSC;NAZEV;PLATI_OD;PLATI_DO
285 43;Paběnice;01.07.2011 00:00:00;
285 45;Kluky u Kutné Hory;01.07.2011 00:00:00;
285 46;Úmonín;01.07.2011 00:00:00;
285 47;Křesetice;01.07.2011 00:00:00;
285 61;Žleby;01.07.2011 00:00:00;
285 62;Hostovlice u Čáslavě;01.07.2011 00:00:00;
285 63;Tupadly;01.07.2011 00:00:00;
285 64;Vlkaneč;01.07.2011 00:00:00;
285 65;Zbýšov v Čechách;01.07.2011 00:00:00;
285 71;Vrdy;01.07.2011 00:00:00;
285 72;Bílé Podolí;01.07.2011 00:00:00;
285 73;Horušice;01.07.2011 00:00:00;
285 74;Záboří nad Labem;01.07.2011 00:00:00;
285 75;Žehušice;01.07.2011 00:00:00;
285 76;Chotusice;01.07.2011 00:00:00;
286 01;Čáslav;01.07.2011 00:00:00;
288 02;Nymburk 2;01.07.2011 00:00:00;
289 01;Dymokury;01.07.2011 00:00:00;
289 02;Kněžice u Městce Králové;01.07.2011 00:00:00;
289 03;Městec Králové;01.07.2011 00:00:00;
289 04;Opočnice;01.07.2011 00:00:00;
289 05;Žehuň;01.07.2011 00:00:00;
289 06;Sány;01.07.2011 00:00:00;
289 07;Libice nad Cidlinou;01.07.2011 00:00:00;
289 08;Běrunice;01.07.2011 00:00:00;
289 11;Pečky;01.07.2011 00:00:00;
289 12;Sadská;01.07.2011 00:00:00;
289 13;Zvěřínek;01.07.2011 00:00:00;
289 14;Poříčany;01.07.2011 00:00:00;
289 15;Kounice;01.07.2011 00:00:00;
289 16;Přerov nad Labem;01.07.2011 00:00:00;
289 17;Semice;01.07.2011 00:00:00;
289 21;Kostomlaty nad Labem;01.07.2011 00:00:00;
289 22;Lysá nad Labem;01.07.2011 00:00:00;
289 23;Milovice nad Labem 1;01.07.2011 00:00:00;
289 24;Milovice nad Labem 3;01.07.2011 00:00:00;
289 25;Straky;01.07.2011 00:00:00;
289 26;Stará Lysá;01.07.2011 00:00:00;
289 31;Bobnice;01.07.2011 00:00:00;
289 32;Oskořínek;01.07.2011 00:00:00;
289 33;Křinec;01.07.2011 00:00:00;
289 34;Rožďalovice;01.07.2011 00:00:00;
289 35;Košík;01.07.2011 00:00:00;
289 36;Mcely;01.07.2011 00:00:00;
289 37;Loučeň;01.07.2011 00:00:00;
289 41;Pňov;01.07.2011 00:00:00;
290 01;Poděbrady 1;15.08.2014 00:00:00;
293 01;Mladá Boleslav 1;01.07.2011 00:00:00;
293 06;Kosmonosy;01.07.2011 00:00:00;
293 07;Josefův Důl u Mladé Boleslavě;15.08.2014 00:00:00;
294 01;Bakov nad Jizerou;01.07.2011 00:00:00;
294 02;Kněžmost;01.07.2011 00:00:00;
294 03;Obruby;01.07.2011 00:00:00;
294 04;Dolní Bousov;01.07.2011 00:00:00;
294 05;Dlouhá Lhota u Mladé Boleslavě;15.08.2014 00:00:00;
294 06;Březno u Mladé Boleslavě;01.07.2011 00:00:00;
294 11;Loukov u Mnichova Hradiště;15.08.2014 00:00:00;
294 12;Žďár u Mnichova Hradiště;01.07.2011 00:00:00;
294 13;Mohelnice nad Jizerou;01.07.2011 00:00:00;
294 14;Jivina u Mnichova Hradiště;15.08.2014 00:00:00;
294 15;Klášter Hradiště nad Jizerou;15.08.2014 00:00:00;
294 21;Bělá pod Bezdězem;01.07.2011 00:00:00;
294 23;Čistá u Mladé Boleslavě;01.07.2011 00:00:00;
294 24;Březovice u Mladé Boleslavě;15.08.2014 00:00:00;
294 25;Katusice;01.07.2011 00:00:00;
294 26;Skalsko;01.07.2011 00:00:00;
294 27;Velké Všelisy;01.07.2011 00:00:00;
294 28;Chotětov;01.07.2011 00:00:00;
294 29;Bezno;01.07.2011 00:00:00;
294 30;Dolní Cetno;01.07.2011 00:00:00;
294 31;Krnsko;01.07.2011 00:00:00;
294 41;Dobrovice;01.07.2011 00:00:00;
294 42;Luštěnice;01.07.2011 00:00:00;
294 43;Čachovice u Mladé Boleslavě;15.08.2014 00:00:00;
294 45;Jabkenice;01.07.2011 00:00:00;
294 46;Semčice;01.07.2011 00:00:00;
294 47;Ledce u Mladé Boleslavi;01.07.2011 00:00:00;
294 48;Domousnice;01.07.2011 00:00:00;
294 71;Benátky nad Jizerou 1;01.07.2011 00:00:00;
294 73;Brodce nad Jizerou;01.07.2011 00:00:00;
294 74;Předměřice nad Jizerou;01.07.2011 00:00:00;
294 75;Sojovice;01.07.2011 00:00:00;
294 76;Kostelní Hlavno;01.07.2011 00:00:00;
294 77;Mečeříž;01.07.2011 00:00:00;
294 78;Dolní Slivno;01.07.2011 00:00:00;
294 79;Kropáčova Vrutice;01.07.2011 00:00:00;
295 01;Mnichovo Hradiště;01.07.2011 00:00:00;
301 00;Plzeň 1;01.07.2011 00:00:00;
312 00;Plzeň 12;01.07.2011 00:00:00;
316 00;Plzeň 16;01.07.2011 00:00:00;
318 00;Plzeň 18;01.07.2011 00:00:00;
321 00;Plzeň 21;01.07.2011 00:00:00;
322 00;Plzeň 22;01.07.2011 00:00:00;
323 00;Plzeň 23;01.07.2011 00:00:00;
326 00;Plzeň 26;01.07.2011 00:00:00;
330 01;Kyšice;01.07.2011 00:00:00;
330 02;Dýšina;01.07.2011 00:00:00;
330 03;Chrást u Plzně;01.07.2011 00:00:00;
330 05;Partner Dobříč;15.08.2014 00:00:00;
330 07;Druztová;01.07.2011 00:00:00;
330 08;Zruč-Senec;01.07.2011 00:00:00;
330 11;Třemošná;01.07.2011 00:00:00;
330 12;Horní Bříza;01.07.2011 00:00:00;
330 13;Trnová u Plzně;01.07.2011 00:00:00;
330 14;Ledce u Plzně;01.07.2011 00:00:00;
330 16;Všeruby u Plzně;01.07.2011 00:00:00;
330 17;Chotíkov;01.07.2011 00:00:00;
330 21;Líně;01.07.2011 00:00:00;
330 22;Zbůch;01.07.2011 00:00:00;
330 23;Nýřany;01.07.2011 00:00:00;
330 24;Heřmanova Huť;01.07.2011 00:00:00;
330 25;Blatnice u Plzně;01.07.2011 00:00:00;
330 26;Tlučná;01.07.2011 00:00:00;
330 27;Vejprnice;01.07.2011 00:00:00;
330 32;Kozolupy;01.07.2011 00:00:00;
330 33;Město Touškov;01.07.2011 00:00:00;
330 35;Líšťany;01.07.2011 00:00:00;
330 36;Pernarec;01.07.2011 00:00:00;
330 38;Úněšov;01.07.2011 00:00:00;
330 40;Úterý;01.07.2011 00:00:00;
330 41;Bezvěrov;01.07.2011 00:00:00;
331 01;Plasy;01.07.2011 00:00:00;
331 41;Kralovice;01.07.2011 00:00:00;
331 44;Kožlany;01.07.2011 00:00:00;
331 51;Kaznějov;01.07.2011 00:00:00;
331 52;Dolní Bělá;01.07.2011 00:00:00;
331 62;Manětín;01.07.2011 00:00:00;
331 65;Žihle;01.07.2011 00:00:00;
332 01;Tymákov;01.07.2011 00:00:00;
332 02;Starý Plzenec;01.07.2011 00:00:00;
332 03;Šťáhlavy;01.07.2011 00:00:00;
332 04;Nezvěstice;01.07.2011 00:00:00;
332 05;Chválenice;01.07.2011 00:00:00;
332 07;Výdejní místo Střížovice;15.08.2014 00:00:00;
332 09;Štěnovice;01.07.2011 00:00:00;
332 11;Hradec u Stoda;01.07.2011 00:00:00;
332 14;Chotěšov;01.07.2011 00:00:00;
333 01;Stod;01.07.2011 00:00:00;
334 01;Přeštice;01.07.2011 00:00:00;
334 41;Dobřany;01.07.2011 00:00:00;
334 42;Chlumčany u Přeštic;01.07.2011 00:00:00;
334 43;Dnešice;01.07.2011 00:00:00;
334 44;Dolní Lukavice;01.07.2011 00:00:00;
334 52;Merklín u Přeštic;01.07.2011 00:00:00;
334 53;Roupov;01.07.2011 00:00:00;
334 54;Výdejní místo Lužany u Přeštic;15.08.2014 00:00:00;
334 55;Horšice;01.07.2011 00:00:00;
